Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C3, C4, C5, C6, C75, C76, C77, C78, C80, C83, C96, C97, C98, C99",CAPC3216X95N,30,16nF,
"C10, C11, C12, C13, C7, C8, C85, C86, C9",0603,9,3.3nF,
"C28, C29, C30, C31, C40, C41, C52, C53, C56, C87, C88, C93",CAPC2012X145N,12,10uF,
"C32, C33, C34, C35, C42, C43, C46, C47, C49, C54, C55, C66, C67, C68, C89, C90, C94",CAPC1608X94N,17,1uF,
"C36, C37, C38, C39, C44, C45, C48, C50, C51, C72, C73, C74, C84, C91, C92, C95",CAPC1608X97N,16,100nF,
"C57, C58, C59, C60, C61, C62",0805,6,4.7uF,
"C63, C65, C69, C71",1206,4,47uF,
"C64, C70",1206,2,22uF,
"D1, D10, D12, D2, D3, D4, D5, D6, D7, D8, D9",SOT95P280X145-6N,11,ESDA6V1BC6,
D11,SOT95P275X110-6N,1,SMS12T1G,
"D13, D14, D15",0805,3,LED,
"H1, H2, H3, H4",MountingHole_2.5mm_Pad,4,MountingHole_Pad,
"J1, J2, J3, J4",AMPHENOL_ICD15S13E4GX00LF,4,ICD15S13E4GX00LF,
J5,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
P1,CONN_SD-43650-010_02_MOL,1,436500227,
"R1, R2, R49, R56",0603,4,5.6k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R44, R45, R46, R47, R48, R5, R55, R58, R59, R6, R60, R61, R7, R8, R9",0603,30,10k,
"R25, R29, R31",RESC1508X50N,3,13k,
R26,RESC1508X50N,1,1.8k,
"R27, R28, R41, R42, R43, R51, R53, R54",RESC1508X50N,8,20K,
"R3, R4, R57, R63, R64",0603,5,1.8k,
R30,RESC1508X50N,1,8k,
"R32, R33, R34, R37",RESC1508X50N,4,100k,
R35,RESC1508X50N,1,40.2k,
"R36, R38, R40, R52",RESC1508X50N,4,10k,
R39,RESC1508X50N,1,50k,
RP1,raspberrypi_2_3,1,Raspberry_Pi_4,
"U1, U2, U3",QFN50P500X500X100-33N,3,ADS124S08IRHBT,
U10,RGY14_2P05X2P05,1,SN74AHCT125RGYR,
U4,TSOT-23_S6_LIT,1,LT6654BMPS6-5-TRMPBF,
U5,TO254P1524X483-4N,1,LM1086IS-5.0_NOPB,
U6,SOT127P706X180-6N,1,TPS73801DCQR,
"U7, U8, U9",CONV_TPSM63602RDHR,3,TPSM63603RDHR,
