Designator,Mid X,Mid Y,Rotation,Layer
C1,33.990687,16.504999,270.0,top
C10,30.190687,31.822199,270.0,top
C11,30.190687,22.999999,270.0,top
C12,29.553498,89.946244,270.0,top
C13,29.552198,81.549044,270.0,top
C14,35.079798,74.601244,270.0,top
C15,49.289355,78.951244,270.0,top
C16,49.277198,85.691244,270.0,top
C17,35.690687,31.839999,270.0,top
C18,35.690687,23.054999,270.0,top
C19,35.053498,89.891244,270.0,top
C2,30.890687,16.504999,270.0,top
C20,35.052198,81.576244,270.0,top
C21,31.979798,74.601244,270.0,top
C22,46.189355,78.951244,270.0,top
C23,46.177198,85.746244,270.0,top
C24,32.590687,31.849999,270.0,top
C25,32.590687,23.054999,270.0,top
C26,31.953498,89.946244,270.0,top
C27,31.952198,81.576244,270.0,top
C28,39.317884,92.946244,180.0,top
C29,42.873884,92.946244,180.0,top
C3,50.290687,20.809999,270.0,top
C30,39.852199,33.755559,180.0,top
C31,43.952199,33.755559,180.0,top
C32,39.317884,90.496244,180.0,top
C33,42.892884,90.546244,180.0,top
C34,39.952199,31.355559,180.0,top
C35,43.752199,31.355559,180.0,top
C36,39.298884,88.246244,180.0,top
C37,42.873884,88.296244,180.0,top
C38,39.952199,29.104999,180.0,top
C39,43.802687,29.104999,180.0,top
C4,46.990687,20.809999,270.0,top
C40,42.498884,73.346244,180.0,top
C41,43.590687,15.104999,180.0,top
C42,42.523884,75.796244,180.0,top
C43,43.590687,17.504999,180.0,top
C44,42.542884,78.046244,180.0,top
C45,43.596687,19.754999,180.0,top
C46,53.302199,121.620559,90.0,top
C47,75.277199,109.930559,90.0,top
C48,65.033199,107.255559,0.0,top
C49,65.039199,109.055559,0.0,top
C5,50.314387,27.454999,270.0,top
C50,49.570699,110.80556,180.0,top
C51,50.733199,118.730559,180.0,top
C52,65.264199,111.105559,0.0,top
C53,49.954149,107.955559,270.0,top
C54,50.758199,113.655559,180.0,top
C55,47.904149,108.180559,270.0,top
C56,50.508199,116.180559,180.0,top
C57,12.477199,114.513059,90.0,top
C58,43.777199,114.593059,90.0,top
C59,24.827199,114.513059,90.0,top
C6,47.014387,27.449999,270.0,top
C60,19.877199,114.513059,90.0,top
C61,36.377199,114.593059,90.0,top
C62,32.227199,114.513059,90.0,top
C63,18.239699,109.019559,90.0,top
C64,38.102199,109.086559,90.0,top
C65,26.514699,108.978059,90.0,top
C66,19.727199,120.815559,90.0,top
C67,32.102199,120.795559,90.0,top
C68,43.627199,120.880559,90.0,top
C69,14.239699,109.007059,90.0,top
C7,29.603498,74.546244,270.0,top
C70,42.077199,109.099059,90.0,top
C71,30.489699,108.994059,90.0,top
C72,16.252199,109.000559,270.0,top
C73,40.077199,109.080559,270.0,top
C74,28.502199,109.000559,270.0,top
C75,33.752199,48.755559,180.0,top
C76,34.552199,45.555559,180.0,top
C77,46.752199,51.755559,270.0,top
C78,48.752199,55.755559,0.0,top
C8,51.689355,78.878444,90.0,top
C80,48.752199,58.755559,0.0,top
C83,48.752199,61.755559,0.0,top
C84,5.252199,71.955559,0.0,top
C85,29.552199,60.555559,270.0,top
C86,28.152199,52.755559,270.0,top
C87,38.752199,61.755559,180.0,top
C88,42.852199,61.755559,180.0,top
C89,38.752199,59.755559,180.0,top
C9,51.677198,85.663444,90.0,top
C90,42.752199,59.755559,180.0,top
