sensor_name,sensor_kind,t_monotonic,t_wall,raw_value,value,units,status,message,filtered_value,sequence,source
chamber_pressure,pressure,33473.5924954,1777362119.5923548,2191337,201.53469759639475,psi,OK,,,,simulated
injector_pressure,pressure,33473.5925296,1777362119.5923889,2865299,301.96287357364577,psi,OK,,,,simulated
thrust,thrust,33473.5925393,1777362119.5923986,129,7.68900009262552,N,OK,,,,simulated
tank_temp,temperature,33473.5925524,1777362119.5924118,180697,20.009916387229154,°C,OK,,,,simulated
chamber_pressure,pressure,33473.6137133,1777362119.6135728,2171376,198.56027645591212,psi,OK,,,,simulated
injector_pressure,pressure,33473.6137653,1777362119.6136246,2867818,302.33823386886525,psi,OK,,,,simulated
thrust,thrust,33473.6137754,1777362119.613635,253,15.07997692584695,N,OK,,,,simulated
tank_temp,temperature,33473.6137855,1777362119.6136448,180776,20.13222203654304,°C,OK,,,,simulated
chamber_pressure,pressure,33473.6341571,1777362119.6340175,2182037,200.14888944016573,psi,OK,,,,simulated
injector_pressure,pressure,33473.6342207,1777362119.63408,2854757,300.3919929733268,psi,OK,,,,simulated
thrust,thrust,33473.6342331,1777362119.6340926,503,29.981139896051445,N,OK,,,,simulated
tank_temp,temperature,33473.6342455,1777362119.6341047,180638,19.91857419343777,°C,OK,,,,simulated
chamber_pressure,pressure,33473.6546594,1777362119.6545196,2196058,202.2381815002181,psi,OK,,,,simulated
injector_pressure,pressure,33473.6547433,1777362119.6546028,2847258,299.27455476219114,psi,OK,,,,simulated
thrust,thrust,33473.6547627,1777362119.6546223,707,42.140488879738314,N,OK,,,,simulated
tank_temp,temperature,33473.6547819,1777362119.6546414,180766,20.11674030878179,°C,OK,,,,simulated
chamber_pressure,pressure,33473.6750946,1777362119.674954,2185528,200.66908903945557,psi,OK,,,,simulated
injector_pressure,pressure,33473.6751805,1777362119.6750398,2844821,298.9114134206073,psi,OK,,,,simulated
thrust,thrust,33473.6751933,1777362119.675053,939,55.968768116088086,N,OK,,,,simulated
tank_temp,temperature,33473.6752071,1777362119.6750667,180688,19.995982832244028,°C,OK,,,,simulated
chamber_pressure,pressure,33473.6956237,1777362119.6954844,2198469,202.59744853942973,psi,OK,,,,simulated
injector_pressure,pressure,33473.6956786,1777362119.6955378,2856993,300.7251829773406,psi,OK,,,,simulated
thrust,thrust,33473.6956871,1777362119.6955466,1069,63.71737286059442,N,OK,,,,simulated
tank_temp,temperature,33473.6956967,1777362119.6955562,180691,20.0006273505724,°C,OK,,,,simulated
chamber_pressure,pressure,33473.716139,1777362119.7159986,2204421,203.4843657594163,psi,OK,,,,simulated
injector_pressure,pressure,33473.7161859,1777362119.7160454,2847251,299.27351168078326,psi,OK,,,,simulated
thrust,thrust,33473.7162066,1777362119.7160664,1305,77.78407070446747,N,OK,,,,simulated
tank_temp,temperature,33473.7162287,1777362119.716088,180834,20.2220160575583,°C,OK,,,,simulated
chamber_pressure,pressure,33473.7363657,1777362119.7362256,2197611,202.46959656114538,psi,OK,,,,simulated
injector_pressure,pressure,33473.7365141,1777362119.7363734,2843931,298.77879307017247,psi,OK,,,,simulated
thrust,thrust,33473.7365415,1777362119.7364013,1487,88.63211734677634,N,OK,,,,simulated
tank_temp,temperature,33473.7365952,1777362119.736455,180725,20.053265224960658,°C,OK,,,,simulated
chamber_pressure,pressure,33473.756662,1777362119.7565215,2196155,202.2526356282992,psi,OK,,,,simulated
injector_pressure,pressure,33473.7567055,1777362119.7565646,2861248,301.35922746172275,psi,OK,,,,simulated
thrust,thrust,33473.7567161,1777362119.7565758,1663,99.1225360778003,N,OK,,,,simulated
tank_temp,temperature,33473.7567464,1777362119.7566056,180715,20.037783497199406,°C,OK,,,,simulated
chamber_pressure,pressure,33473.7771463,1777362119.777006,2214651,205.00875473126828,psi,OK,,,,simulated
injector_pressure,pressure,33473.7771836,1777362119.7770429,2861442,301.38813571788495,psi,OK,,,,simulated
thrust,thrust,33473.7771923,1777362119.7770517,1853,110.44741993515572,N,OK,,,,simulated
tank_temp,temperature,33473.7771999,1777362119.7770593,180768,20.119836654334037,°C,OK,,,,simulated
chamber_pressure,pressure,33473.7973051,1777362119.7971659,2225991,206.69854661208947,psi,OK,,,,simulated
injector_pressure,pressure,33473.7974049,1777362119.7972643,2866446,302.133789912914,psi,OK,,,,simulated
thrust,thrust,33473.797431,1777362119.7972906,2037,121.41467588122623,N,OK,,,,simulated
tank_temp,temperature,33473.7974512,1777362119.7973108,180797,20.164733664841666,°C,OK,,,,simulated
chamber_pressure,pressure,33473.8174028,1777362119.817263,2212742,204.72429153016708,psi,OK,,,,simulated
injector_pressure,pressure,33473.8174833,1777362119.8173428,2852583,300.06804169035456,psi,OK,,,,simulated
thrust,thrust,33473.8175057,1777362119.817365,2209,131.66667600472692,N,OK,,,,simulated
tank_temp,temperature,33473.8175241,1777362119.8173838,180726,20.054813397736783,°C,OK,,,,simulated
chamber_pressure,pressure,33473.8378334,1777362119.8377619,2219186,205.68452247196706,psi,OK,,,,simulated
injector_pressure,pressure,33473.8379917,1777362119.837851,2862689,301.5739532201234,psi,OK,,,,simulated
thrust,thrust,33473.838029,1777362119.837889,2345,139.77290866051817,N,OK,,,,simulated
tank_temp,temperature,33473.8380803,1777362119.8379397,180769,20.121384827110163,°C,OK,,,,simulated
chamber_pressure,pressure,33473.8582456,1777362119.8581054,2242370,209.13920809497927,psi,OK,,,,simulated
injector_pressure,pressure,33473.8583314,1777362119.8581908,2862833,301.5954108948005,psi,OK,,,,simulated
thrust,thrust,33473.8583625,1777362119.8582225,2535,151.0977925178736,N,OK,,,,simulated
tank_temp,temperature,33473.8584155,1777362119.8582754,180672,19.971212067826023,°C,OK,,,,simulated
chamber_pressure,pressure,33473.8783193,1777362119.8781788,2223356,206.30590096782458,psi,OK,,,,simulated
injector_pressure,pressure,33473.87835,1777362119.8782094,2849158,299.55767685862503,psi,OK,,,,simulated
thrust,thrust,33473.878358,1777362119.8782172,2637,157.17746700971702,N,OK,,,,simulated
tank_temp,temperature,33473.8783663,1777362119.8782256,180714,20.03623532442328,°C,OK,,,,simulated
chamber_pressure,pressure,33473.8983967,1777362119.8982577,2226953,206.84189579986284,psi,OK,,,,simulated
injector_pressure,pressure,33473.8985681,1777362119.8984277,2870569,302.7481648621756,psi,OK,,,,simulated
thrust,thrust,33473.8986099,1777362119.8984702,2673,159.32323447742647,N,OK,,,,simulated
tank_temp,temperature,33473.8986508,1777362119.8985102,180713,20.034687151647155,°C,OK,,,,simulated
chamber_pressure,pressure,33473.9188538,1777362119.9187133,2259503,211.69222434666446,psi,OK,,,,simulated
injector_pressure,pressure,33473.9189068,1777362119.918766,2869222,302.5474461969669,psi,OK,,,,simulated
thrust,thrust,33473.9189234,1777362119.918783,2935,174.93965327020078,N,OK,,,,simulated
tank_temp,temperature,33473.9189497,1777362119.9188092,180658,19.949537648960273,°C,OK,,,,simulated
chamber_pressure,pressure,33473.9392372,1777362119.9390972,2223016,206.2552370137259,psi,OK,,,,simulated
injector_pressure,pressure,33473.9393132,1777362119.9391725,2890884,305.7753361195726,psi,OK,,,,simulated
thrust,thrust,33473.9393559,1777362119.939216,2985,177.91988586424168,N,OK,,,,simulated
tank_temp,temperature,33473.939389,1777362119.9392483,180650,19.937152266751273,°C,OK,,,,simulated
chamber_pressure,pressure,33473.9597753,1777362119.9596353,2249558,210.21030368927762,psi,OK,,,,simulated
injector_pressure,pressure,33473.9598924,1777362119.9597518,2869723,302.62210102344767,psi,OK,,,,simulated
thrust,thrust,33473.9599319,1777362119.9597921,3063,182.56904871094548,N,OK,,,,simulated
tank_temp,temperature,33473.9599875,1777362119.9598472,180646,19.93095957564677,°C,OK,,,,simulated
chamber_pressure,pressure,33473.9807886,1777362119.9806483,2224513,206.47830742338985,psi,OK,,,,simulated
injector_pressure,pressure,33473.9808373,1777362119.9806967,2867081,302.2284122977748,psi,OK,,,,simulated
thrust,thrust,33473.9808488,1777362119.9807081,3177,189.36397902535873,N,OK,,,,simulated
tank_temp,temperature,33473.9808612,1777362119.9807208,180739,20.074939643826408,°C,OK,,,,simulated
chamber_pressure,pressure,33474.0009017,1777362120.0007622,2241640,209.03042960529677,psi,OK,,,,simulated
injector_pressure,pressure,33474.0009724,1777362120.0008318,2881768,304.4169461032088,psi,OK,,,,simulated
thrust,thrust,33474.001002,1777362120.0008616,3239,193.05946744196945,N,OK,,,,simulated
tank_temp,temperature,33474.001017,1777362120.0008762,180747,20.087325026035412,°C,OK,,,,simulated
chamber_pressure,pressure,33474.0214201,1777362120.0212803,2265767,212.62563319511807,psi,OK,,,,simulated
injector_pressure,pressure,33474.0214919,1777362120.021351,2872195,302.9904577720711,psi,OK,,,,simulated
thrust,thrust,33474.0215038,1777362120.0213633,3285,195.80128142848707,N,OK,,,,simulated
tank_temp,temperature,33474.0215153,1777362120.0213747,180740,20.076487816602533,°C,OK,,,,simulated
chamber_pressure,pressure,33474.0414994,1777362120.0413597,2265800,212.63055057889824,psi,OK,,,,simulated
injector_pressure,pressure,33474.0415628,1777362120.0414221,2880158,304.1770373793885,psi,OK,,,,simulated
thrust,thrust,33474.0415994,1777362120.041459,3291,196.15890933977198,N,OK,,,,simulated
tank_temp,temperature,33474.0416203,1777362120.0414796,180769,20.121384827110163,°C,OK,,,,simulated
chamber_pressure,pressure,33474.0616064,1777362120.061467,2247264,209.86847101074113,psi,OK,,,,simulated
injector_pressure,pressure,33474.0616681,1777362120.0615273,2868140,302.3862156136293,psi,OK,,,,simulated
thrust,thrust,33474.0616799,1777362120.0615394,3351,199.73518845262106,N,OK,,,,simulated
tank_temp,temperature,33474.0616905,1777362120.06155,180681,19.98514562281115,°C,OK,,,,simulated
chamber_pressure,pressure,33474.0823476,1777362120.082207,2254638,210.967282768164,psi,OK,,,,simulated
injector_pressure,pressure,33474.0823906,1777362120.0822499,2874849,303.38593463730035,psi,OK,,,,simulated
thrust,thrust,33474.0824023,1777362120.0822616,3303,196.8741651623418,N,OK,,,,simulated
tank_temp,temperature,33474.0824127,1777362120.082272,180766,20.11674030878179,°C,OK,,,,simulated
chamber_pressure,pressure,33474.1024741,1777362120.1023347,2262747,212.1756180734179,psi,OK,,,,simulated
injector_pressure,pressure,33474.1025798,1777362120.1024392,2883773,304.7157144207614,psi,OK,,,,simulated
thrust,thrust,33474.1026328,1777362120.1024928,3401,202.71542104666196,N,OK,,,,simulated
tank_temp,temperature,33474.1026637,1777362120.102523,180790,20.15389645540879,°C,OK,,,,simulated
chamber_pressure,pressure,33474.1226069,1777362120.122467,2251958,210.56793160056253,psi,OK,,,,simulated
injector_pressure,pressure,33474.1226673,1777362120.1225266,2881272,304.34303633487656,psi,OK,,,,simulated
thrust,thrust,33474.1226971,1777362120.1225567,3293,196.27811864353362,N,OK,,,,simulated
tank_temp,temperature,33474.122711,1777362120.1225705,180826,20.209630675349295,°C,OK,,,,simulated
chamber_pressure,pressure,33474.1427897,1777362120.1426506,2272818,213.6763141961472,psi,OK,,,,simulated
injector_pressure,pressure,33474.1428639,1777362120.142723,2876359,303.61094219815044,psi,OK,,,,simulated
thrust,thrust,33474.1428928,1777362120.142753,3299,196.63574655481852,N,OK,,,,simulated
tank_temp,temperature,33474.1429105,1777362120.1427703,180726,20.054813397736783,°C,OK,,,,simulated
chamber_pressure,pressure,33474.1628295,1777362120.1626892,2292245,216.57116312636893,psi,OK,,,,simulated
injector_pressure,pressure,33474.1628866,1777362120.1627462,2864962,301.91265665443615,psi,OK,,,,simulated
thrust,thrust,33474.162908,1777362120.1627676,3263,194.48997908710908,N,OK,,,,simulated
tank_temp,temperature,33474.1629301,1777362120.1627893,180758,20.104354926572785,°C,OK,,,,simulated
chamber_pressure,pressure,33474.1835734,1777362120.183433,2258773,211.58344585698197,psi,OK,,,,simulated
injector_pressure,pressure,33474.1836156,1777362120.183475,2881154,304.3254529625717,psi,OK,,,,simulated
thrust,thrust,33474.1836268,1777362120.1834862,3211,191.39053718930654,N,OK,,,,simulated
tank_temp,temperature,33474.1836373,1777362120.183497,180657,19.947989476184148,°C,OK,,,,simulated
chamber_pressure,pressure,33474.2038206,1777362120.203681,2254940,211.01228428033403,psi,OK,,,,simulated
injector_pressure,pressure,33474.2039042,1777362120.2037637,2878240,303.89123307361996,psi,OK,,,,simulated
thrust,thrust,33474.203941,1777362120.2038012,3125,186.2645371275562,N,OK,,,,simulated
tank_temp,temperature,33474.2039935,1777362120.2038531,180758,20.104354926572785,°C,OK,,,,simulated
chamber_pressure,pressure,33474.2244065,1777362120.2242665,2280239,214.78212950016618,psi,OK,,,,simulated
injector_pressure,pressure,33474.224463,1777362120.2243223,2885520,304.97603773785085,psi,OK,,,,simulated
thrust,thrust,33474.224476,1777362120.224336,3067,182.80746731846875,N,OK,,,,simulated
tank_temp,temperature,33474.224505,1777362120.2243643,180652,19.94024861230352,°C,OK,,,,simulated
chamber_pressure,pressure,33474.2446653,1777362120.2445252,2278487,214.5210611249282,psi,OK,,,,simulated
injector_pressure,pressure,33474.2447348,1777362120.244594,2881229,304.3366288347994,psi,OK,,,,simulated
thrust,thrust,33474.2447597,1777362120.2446194,2833,168.85997877835734,N,OK,,,,simulated
tank_temp,temperature,33474.2447864,1777362120.2446458,180705,20.022301769438155,°C,OK,,,,simulated
chamber_pressure,pressure,33474.2647027,1777362120.2645626,2300109,217.7429905823458,psi,OK,,,,simulated
injector_pressure,pressure,33474.264749,1777362120.2646081,2890777,305.7593918751945,psi,OK,,,,simulated
thrust,thrust,33474.2647689,1777362120.2646284,2841,169.3368159934039,N,OK,,,,simulated
tank_temp,temperature,33474.264789,1777362120.2646484,180872,20.280846623051055,°C,OK,,,,simulated
chamber_pressure,pressure,33474.2853947,1777362120.2852542,2282598,215.1336479346333,psi,OK,,,,simulated
injector_pressure,pressure,33474.2854367,1777362120.2852962,2880096,304.16779865834695,psi,OK,,,,simulated
thrust,thrust,33474.2854487,1777362120.2853081,2719,162.0650484639441,N,OK,,,,simulated
tank_temp,temperature,33474.2854578,1777362120.2853172,180662,19.955730340064772,°C,OK,,,,simulated
chamber_pressure,pressure,33474.3058918,1777362120.3057523,2285879,215.6225550916857,psi,OK,,,,simulated
injector_pressure,pressure,33474.3059652,1777362120.3058245,2883430,304.66460343177357,psi,OK,,,,simulated
thrust,thrust,33474.3059786,1777362120.305838,2577,153.60118789686794,N,OK,,,,simulated
tank_temp,temperature,33474.3059904,1777362120.3058496,180859,20.260720376961427,°C,OK,,,,simulated
chamber_pressure,pressure,33474.3259376,1777362120.3257973,2286529,215.71941265099204,psi,OK,,,,simulated
injector_pressure,pressure,33474.3259982,1777362120.3258576,2888867,305.4747796624636,psi,OK,,,,simulated
thrust,thrust,33474.3260258,1777362120.3258855,2505,149.30965296144905,N,OK,,,,simulated
tank_temp,temperature,33474.3260411,1777362120.3259003,180831,20.217371539229923,°C,OK,,,,simulated
chamber_pressure,pressure,33474.3460373,1777362120.3458977,2280477,214.81759426803526,psi,OK,,,,simulated
injector_pressure,pressure,33474.3461121,1777362120.3459713,2871970,302.95693015538814,psi,OK,,,,simulated
thrust,thrust,33474.3461239,1777362120.3459835,2271,135.36216442133764,N,OK,,,,simulated
tank_temp,temperature,33474.3461395,1777362120.345999,180793,20.158540973737168,°C,OK,,,,simulated
chamber_pressure,pressure,33474.3661651,1777362120.3660254,2299155,217.60083348761006,psi,OK,,,,simulated
injector_pressure,pressure,33474.3662797,1777362120.3661392,2879621,304.0970181342385,psi,OK,,,,simulated
thrust,thrust,33474.3663239,1777362120.3661842,2143,127.73276898059294,N,OK,,,,simulated
tank_temp,temperature,33474.3663714,1777362120.366231,180846,20.2405941308718,°C,OK,,,,simulated
chamber_pressure,pressure,33474.3869087,1777362120.3867683,2280967,214.89060996658927,psi,OK,,,,simulated
injector_pressure,pressure,33474.3869594,1777362120.386819,2879397,304.06363952918525,psi,OK,,,,simulated
thrust,thrust,33474.3869699,1777362120.3868294,1905,113.54686183295826,N,OK,,,,simulated
tank_temp,temperature,33474.3869815,1777362120.3868408,180854,20.252979513080803,°C,OK,,,,simulated
chamber_pressure,pressure,33474.4074237,1777362120.4072845,2307857,218.89753268927726,psi,OK,,,,simulated
injector_pressure,pressure,33474.4075324,1777362120.407392,2905126,307.8975597497892,psi,OK,,,,simulated
thrust,thrust,33474.4075547,1777362120.407414,1803,107.46718734111482,N,OK,,,,simulated
tank_temp,temperature,33474.4075763,1777362120.407436,180891,20.310261905797432,°C,OK,,,,simulated
chamber_pressure,pressure,33474.4279563,1777362120.4278164,2297943,217.42023139241118,psi,OK,,,,simulated
injector_pressure,pressure,33474.4280397,1777362120.4278994,2885003,304.8989987252949,psi,OK,,,,simulated
thrust,thrust,33474.4280564,1777362120.4279158,1553,92.56602437091033,N,OK,,,,simulated
tank_temp,temperature,33474.4280684,1777362120.4279277,180812,20.187956256483545,°C,OK,,,,simulated
chamber_pressure,pressure,33474.448474,1777362120.4483342,2304593,218.41115872992978,psi,OK,,,,simulated
injector_pressure,pressure,33474.4485236,1777362120.448383,2893247,306.1274506005586,psi,OK,,,,simulated
thrust,thrust,33474.448553,1777362120.4484124,1363,81.24114051355491,N,OK,,,,simulated
tank_temp,temperature,33474.4485694,1777362120.4484289,180792,20.156992800961042,°C,OK,,,,simulated
chamber_pressure,pressure,33474.4687511,1777362120.4686115,2295527,217.06021929505104,psi,OK,,,,simulated
injector_pressure,pressure,33474.4688177,1777362120.468677,2893647,306.1870552524394,psi,OK,,,,simulated
thrust,thrust,33474.4688279,1777362120.4686873,1299,77.42644279318256,N,OK,,,,simulated
tank_temp,temperature,33474.4688393,1777362120.4686987,180794,20.160089146513293,°C,OK,,,,simulated
chamber_pressure,pressure,33474.4891535,1777362120.4890137,2293327,216.73239370970654,psi,OK,,,,simulated
injector_pressure,pressure,33474.4892002,1777362120.4890597,2885313,304.94519233050255,psi,OK,,,,simulated
thrust,thrust,33474.4892247,1777362120.4890845,1041,62.04844260793152,N,OK,,,,simulated
tank_temp,temperature,33474.4892429,1777362120.4891021,180773,20.127577518214665,°C,OK,,,,simulated
chamber_pressure,pressure,33474.5092941,1777362120.5091543,2322114,221.02199149393937,psi,OK,,,,simulated
