sensor_name,sensor_kind,t_monotonic,t_wall,raw_value,value,units,status,message,filtered_value,sequence,source
chamber_pressure,pressure,304315.1864309,1777103263.9364684,2190573,201.4208527113024,psi,OK,,,,simulated
injector_pressure,pressure,304315.1864576,1777103263.9364946,2865108,301.93441235237265,psi,OK,,,,simulated
thrust,thrust,304315.1864692,1777103263.9365063,83,4.9471861061078926,N,OK,,,,simulated
tank_temp,temperature,304315.1864785,1777103263.9365156,180697,20.009916387229154,°C,OK,,,,simulated
chamber_pressure,pressure,304315.2069736,1777103263.9570117,2170500,198.42974226829313,psi,OK,,,,simulated
injector_pressure,pressure,304315.2070821,1777103263.9571192,2867601,302.30589834521993,psi,OK,,,,simulated
thrust,thrust,304315.207093,1777103263.95713,199,11.861325724282779,N,OK,,,,simulated
tank_temp,temperature,304315.207107,1777103263.957144,180775,20.130673863766916,°C,OK,,,,simulated
chamber_pressure,pressure,304315.2276885,1777103263.9777262,2181207,200.02520978751303,psi,OK,,,,simulated
injector_pressure,pressure,304315.2277546,1777103263.9777915,2854550,300.36114756597846,psi,OK,,,,simulated
thrust,thrust,304315.2277619,1777103263.977799,451,26.88169799824891,N,OK,,,,simulated
tank_temp,temperature,304315.2277692,1777103263.977806,180637,19.917026020661645,°C,OK,,,,simulated
chamber_pressure,pressure,304315.2477381,1777103263.9977758,2195153,202.10332597533775,psi,OK,,,,simulated
injector_pressure,pressure,304315.2478411,1777103263.997878,2847033,299.2410271455082,psi,OK,,,,simulated
thrust,thrust,304315.247851,1777103263.9978883,651,38.80262837441251,N,OK,,,,simulated
tank_temp,temperature,304315.2478644,1777103263.9979012,180765,20.115192136005664,°C,OK,,,,simulated
chamber_pressure,pressure,304315.267817,1777103264.017855,2184565,200.5255908400525,psi,OK,,,,simulated
injector_pressure,pressure,304315.2679127,1777103264.0179496,2844580,298.87550161784907,psi,OK,,,,simulated
thrust,thrust,304315.2679284,1777103264.0179653,881,52.51169830700064,N,OK,,,,simulated
tank_temp,temperature,304315.2679441,1777103264.0179813,180687,19.994434659467903,°C,OK,,,,simulated
chamber_pressure,pressure,304315.2881215,1777103264.0381594,2197472,202.4488839446168,psi,OK,,,,simulated
injector_pressure,pressure,304315.2882133,1777103264.0382504,2856744,300.68807908154474,psi,OK,,,,simulated
thrust,thrust,304315.2882338,1777103264.038271,1011,60.26030305150698,N,OK,,,,simulated
tank_temp,temperature,304315.2882492,1777103264.0382864,180690,19.99907917779628,°C,OK,,,,simulated
chamber_pressure,pressure,304315.3083236,1777103264.0583613,2203375,203.32849959474797,psi,OK,,,,simulated
injector_pressure,pressure,304315.3084037,1777103264.0584407,2846989,299.2344706338013,psi,OK,,,,simulated
thrust,thrust,304315.3084147,1777103264.0584517,1243,74.08858228785675,N,OK,,,,simulated
tank_temp,temperature,304315.3084265,1777103264.0584636,180833,20.220467884782174,°C,OK,,,,simulated
chamber_pressure,pressure,304315.328861,1777103264.0788987,2196621,202.32207504774036,psi,OK,,,,simulated
injector_pressure,pressure,304315.3289198,1777103264.0789568,2843676,298.7407951045984,psi,OK,,,,simulated
thrust,thrust,304315.3289269,1777103264.078964,1431,85.29425684145053,N,OK,,,,simulated
tank_temp,temperature,304315.3289342,1777103264.0789711,180724,20.051717052184532,°C,OK,,,,simulated
chamber_pressure,pressure,304315.3491342,1777103264.0991719,2195167,202.10541213815358,psi,OK,,,,simulated
injector_pressure,pressure,304315.3491973,1777103264.0992343,2860997,301.32182554266757,psi,OK,,,,simulated
thrust,thrust,304315.3492048,1777103264.0992417,1609,95.90388487623613,N,OK,,,,simulated
