sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
XF-PT,pressure,1455.93796114,1779488057.4254096,0.0,,-125.0,psi,,hardware
LF-PT,pressure,1455.93743761,1779488057.4248865,0.00041961674924096456,,-62.44754790634488,psi,,hardware
OT-PT,pressure,1455.943519139,1779488057.430968,-0.024575594016980413,,-131.1438985042451,psi,,hardware
OF-PT,pressure,1455.946564228,1779488057.4340122,4.410744239180593e-05,,-124.98897313940205,psi,,hardware
FT-PT,pressure,1455.944916787,1779488057.432365,2.9000971198197742,,300.0121399774718,psi,,hardware
OM-PT,pressure,1455.94878979,1779488057.436238,2.8048381572768877,,576.2095393192219,psi,,hardware
FM-PT,pressure,1455.949070768,1779488057.436519,-1.9614752485126552,,-307.6844060640819,psi,,hardware
FI-PT,pressure,1455.952289743,1779488057.4397378,2.0230081108818188,,190.37601386022735,psi,,hardware
OI-PT,pressure,1455.952133541,1779488057.4395816,-1.4066745527594748,,-476.6686381898687,psi,,hardware
WM-PT,pressure,1455.955474737,1779488057.4429228,3.704700315558948,,400.5875394448685,psi,,hardware
WO-RTD,temperature,1455.955687938,1779488057.4431362,,,-1690.6946486020718,°C,,hardware
N-LC,thrust,1455.967023119,1779488057.4544716,0.078125,0.078125,0.0,N,,hardware
XF-PT,pressure,1455.975550652,1779488057.462999,0.6970275279316339,,49.25688198290848,psi,,hardware
OT-PT,pressure,1455.978710832,1779488057.4661589,0.6673843464117463,,41.846086602936566,psi,,hardware
OF-PT,pressure,1455.981192558,1779488057.4686406,5.0,,1125.0,psi,,hardware
OM-PT,pressure,1455.984312238,1779488057.4717603,4.45853226882604,,989.6330672065098,psi,,hardware
OI-PT,pressure,1455.987376567,1779488057.4748247,3.286514674009642,,696.6286685024105,psi,,hardware
XF-PT,pressure,1455.991623732,1779488057.4790726,0.6261814387060927,,31.545359676523166,psi,,hardware
OT-PT,pressure,1455.99482367,1779488057.482272,0.6716025676253519,,42.90064190633797,psi,,hardware
N-LC,thrust,1455.99732884,1779488057.4847772,0.078125,0.078125,0.0,N,,hardware
XF-PT,pressure,1456.005876466,1779488057.4933248,0.7516575755664796,,62.9143938916199,psi,,hardware
OF-PT,pressure,1456.009050294,1779488057.4964983,5.0,,1125.0,psi,,hardware
OM-PT,pressure,1456.012175678,1779488057.499624,4.609776688787543,,1027.4441721968856,psi,,hardware
OI-PT,pressure,1456.015360542,1779488057.5028086,3.1026939276091965,,650.6734819022992,psi,,hardware
OT-PT,pressure,1456.018491444,1779488057.5059395,0.6684822640993909,,42.12056602484773,psi,,hardware
N-LC,thrust,1456.021610699,1779488057.5090587,0.078125,0.078125,0.0,N,,hardware
XF-PT,pressure,1456.030539504,1779488057.5179877,0.8036387924717416,,75.9096981179354,psi,,hardware
OF-PT,pressure,1456.033743702,1779488057.5211918,5.0,,1125.0,psi,,hardware
OM-PT,pressure,1456.03621565,1779488057.5236638,4.416112830175499,,979.0282075438747,psi,,hardware
OI-PT,pressure,1456.040250837,1779488057.5276997,3.327547112410916,,706.8867781027291,psi,,hardware
OT-PT,pressure,1456.043394591,1779488057.5308425,0.7395363735599964,,59.88409338999909,psi,,hardware
N-LC,thrust,1456.045942538,1779488057.5333905,0.078125,0.078125,0.0,N,,hardware
XF-PT,pressure,1456.0537181,1779488057.541166,0.7231909898747193,,55.79774746867982,psi,,hardware
OF-PT,pressure,1456.056809651,1779488057.5442579,5.0,,1125.0,psi,,hardware
OM-PT,pressure,1456.059250748,1779488057.5466988,4.549459761316747,,1012.3649403291868,psi,,hardware
OI-PT,pressure,1456.062287355,1779488057.5497353,3.0955282563600846,,648.8820640900211,psi,,hardware
OT-PT,pressure,1456.064818876,1779488057.5522668,0.7723165479083715,,68.07913697709286,psi,,hardware
N-LC,thrust,1456.067858428,1779488057.5553064,0.078125,0.078125,0.0,N,,hardware
